Index|Afrikaans|Albanais|Allemand|Anglais|Arabe|Azéri|Basque|Biélorusse|Bosniaque|Bulgare|Catalan|Cebuano|Chichewa|Corse|Créole haïtien|Croate|Danois|Espagnol|Espéranto|Estonien|Finnois|Français|Frison|Gaélique (Écosse)|Galicien|Gallois|Grec|Haoussa|Hawaïen|Hmong|Hongrois|Igbo|Indonésien|Irlandais|Islandais|Italien|Javanais|Kazakh|Kinyarwanda|Kirghiz|Kurde|Latin|Letton|Lituanien|Luxembourgeois|Macédonien|Malaisien|Malgache|Maltais|Maori|Mongol|Néerlandais|Norvégien|Ouïgour|Ouzbek|Pachtô|Persan|Philippin|Polonais|Portugais|Roumain|Russe|Samoan|Serbe|Sesotho|Shona|Sindhî|Slovaque|Slovène|Somali|Soundanais|Suédois|Swahili|Tadjik|Tatar|Tchèque|Turc|Turkmène|Ukrainien|Urdu|Vietnamien|Xhosa|Yorouba|Zoulou
to fight|om te veg|te luftosh|kämpfen|to fight|ليقاتل|dalaşmaq|Borrokatu|змагацца|boriti se|да се биеш|lluitar|mag away|kumenya nkhondo|luttà|goumen|boriti se|at kæmpe|luchar|batali|kaklema|taistella|combattre|fjochtsje|sabaid|pelexar|i ymladd|για να παλέψεις|yi yaƙi|e hakakā|sib ntaus|harcolni|ịlụ ọgụ|untuk melawan|troid|að berjast|combattere|gelut|күресу|kurwana|күрөшүү|şer kirin|pugnare|cīnīties|kovoti|streiden|да се бори|untuk memperjuangkan|miady|tiġġieled|ki te whawhai|тэмцэх|vechten|å sloss|ئۇرۇش قىلىش|jang qilmoq|جنګېدل|جنگیدن|para lumaban|walczyć|lutar|a lupta|бороться|e tau|свађати се|ho loana|kurwa|وڙهڻ|bojovať|boriti se|sidey ula dagaalamaan|tarung|att slåss|kupigana|ҷангидан|көрәшергә|bojovat|savaşmak|uruşmak|боротися|لڑنے کے لئے|chiến đấu|ukulwa|lati ja|ukulwa
to hunt|om te jag|për gjueti|jagen|to hunt|للصيد|ovlamaq|ehizatu|паляваць|loviti|да ловиш|a caçar|aron mangayam|kusaka|caccighjà|lachas|loviti|at jage|a cazar|ĉasi|jahtima|metsästää|chasser|jeie|a shealg|cazar|i hela|να κυνηγήσω|farauta|e ʻimi holoholona|mus yos hav zoov|vadászni|ichu nta|untuk berburu|a fhiach|að veiða|cacciare|kanggo mburu|аң аулау|guhiga|аңчылык кылуу|nêçîr kirin|Ad hunt|medīt|medžioti|ze jagen|да се ловат|untuk memburu|mihaza|għall-kaċċa|ki te hopu|агнахад|jagen|å jakte|ئوۋ ئوۋلاش|ovlamoq|ښکار کول|شکارکردن|upang mang-aso|polować|caçar|a vana|охотиться|e tuli manu|у лов|ho tsoma|kuvhima|شڪار ڪرڻ|na lov|loviti|ugaarsi|moro|att jaga|kuwinda|шикор кардан|ауга|na lov|Avlanmak|aw etmek|для полювання|شکار|đi săn|ukuzingela|lati sode|ukuzingela
to hit|te slaan|për të goditur|schlagen|to hit|لتضرب|vurmaq|jo|біць|udariti|да удря|colpejar|aron maigo|kugunda|culpisce|frape|pogoditi|at ramme|golpear|bati|lööma|lyödä|frapper|reitsje|a bhualadh|pegar|i daro|να χτυπήσει|don bugawa|kuʻi|ntaus|megütni|iti|untuk memukul|bualadh|að slá|colpire|kanggo kenek|ұру|gukubita|уруу|lêdan|ut hit|sist|smogti|schloen|да удри|untuk memukul|mamely|biex tolqot|ki te patu|цохих|raken|å slå|to hit|urmoq|وهل|ضربه زدن|tumama|uderzyć|acertar|pentru a lovi|ударить|e lavea|погодити|ho otla|kurova|ڌڪ هڻڻ|trafiť|udariti|si loo garaaco|neunggeul|att träffa|kupiga|задан|сугарга|udeřit|vurmak|urmak|бити|نشانہ بنانے کی|đánh|Ukubetha|lati lu|ukushaya
to cut|om te sny|te presesh|schneiden|to cut|لقطع|kəsmək|moztu|рэзаць|izrezati|разрязвам|tallar|aron maputol|kudula|taglià|nan koupe|rezati|at klippe|cortar|tranĉi|lõikama|katkaista|couper|snije|a ghearradh|cortar|i dorri|να κόψω|a yanka|oki|rau kev txiav|vágni|ịkpụ|untuk memotong|a ghearradh|að klippa|tagliare|kanggo ngethok|кесу|gukata|кесүү|birrîn|ad Conscidisti|griezt|kirpti|ze schneiden|да се намали|untuk memotong|manapaka|biex taqta '|ki te tapahi|таслах|snijden|å kutte|كېسىش|kesmoq|پرې کول|بریدن|gupitin|uciąć|cortar|a tăia|вырезать|e tipi|да сече|ho seha|kucheka|وڍڻ|rezať|rezati|si loo gooyo|pikeun motong|att skära|kukata|буридан|кисәргә|řezat|kesmek|kesmek|вирізати|کاٹنا|cắt|ukusika|lati ge|ukusika
to split|om op The breek|të ndahet|aufteilen|to split|لتقسيم|ayırmaq|banatu|раскалоцца|podijeliti|да се раздели|dividir|sa pagbulag|kugawanika|sparte|fann|podijeliti|at dele|dividir|disiĝi|lõhenema|jakaa|séparer|Diele|a sgoltadh|dividir|i hollti|να χωρίσει|a raba|hoʻokaʻawale|los faib ua ob sab|megosztani|iji kewaa|untuk membagi|a scoilt|að kljúfa|dividere|kanggo pisah|бөлу|gutandukana|бөлүү|perçe kirin|est split|sadalīt|Skilti|opzedeelen|да подели|untuk dipisahkan|misaraka|biex tinqasam|wehe|хуваах|splitsen|å dele|بۆلۈش|bo'linmoq|بېلېدل|جداسازی|maghiwalay|podzielić|dividir|a împărți|разделять|e vaelua|раздвојити|ho petsoha|kutsemuka|ورهائڻ|rozdeliť|razdeliti|loo kala baxo|meulah|att dela|kugawanyika|тақсим шудан|бүлергә|rozdělit|ayırmak|bölmek|розділити|تقسیم کرنا|để phân chia|ukwahlukana|lati pin|ukuhlukanisa
to stab|Om te steek|të therrjes|zu stechen|to stab|يطعن|bıçaqlamaq|labankada eman|калоць|ubosti|да наръгаш|apunyalar|sa pagdunggab|kubaya|stipà|pike|ubosti|at stikke|apuñalar|ponardi|pussitama|puukottaa|poignarder|stekke|a stab|apuñalar|i drywanu|να μαχαιρώσει|don soka|e hou|nkaug|Megkéselni|ịdụ|menusuk|a stab|að stinga|pugnalare|kanggo nyuduk|шаншу|gutera icyuma|сайып салуу|xeniqandin|ad confodere|sadurt|padurti|stiechen|да прободе|untuk menikam|manindrona|biex ittaqqab|ki te patia|хутгалах|steken|å stikke|پىچاق|pichoqlamoq|وهل|چاقو زدن|saksakin|dźgać|esfaquear|a înjunghia|заколоть|e tutuʻi|да избоде|ho hlaba|kubaya|ڇڪڻ|bodnúť|zaboditi|toorrey|pikeun nusuk|att hugga|kuchoma|корд задан|пычаклау|bodnout|bıçaklamak|pyçaklamak|колоти|گھوپنا|đâm|ukuhlaba|lati gún|ukugwaza
to scratch|om te krap|të gërvishtem|Kratzen|to scratch|خدش|cızmaq|marratu|драпаць|ogrebati|да надраска|ratllar|sa gasgas|kukanda|grattà|grate|ogrebati|at klø|a la altura|grati|kratsima|raapia|gratter|skrasse|a sgrìobadh|rabuñar|i grafu|ξύνω|karce|ʻānai|mus khawb|megkarcolni|ọkọ|untuk menggaruk|a scrabhadh|að klóra|graffiare|kanggo ngeruk|тырнау|gushushanya|тырмоо|xêz kirin|aliquid scalpere|pakasīt|krapštyti|ze kratzen|да се гребе|untuk menggaru|mamoritra|biex tobrox|ki te raraku|маажих|krabben|å klø|سىزىش|tirnalmoq|خارښتول|خراشیدن|sa gasgas|zadrapać|arranhar|a scarpina|царапать|e valu|да се огребе|ho ngoapa|kukwenya|صاف ڪرڻ|poškrabať|praskati|xoqid|pikeun ngeruk|att klia|kukwaruza|харошидан|тырнау|škrábat|kaşımak|dyrnaçaklamak|подряпати|کھرچنا|cào|ukukrwempa|lati ibere|ukunwaya
to dig|om te grawe|të gërmoj|Graben|to dig|لحفر|qazmaq|zulatu|капаць|kopati|да копаят|cavar|magkalot|kukumba|scavà|fouye|kopati|at grave|cavar|fosi|kaevama|kaivaa|à creuser|graven|a chladhach|cavar|i gloddio|σκάβω|tono|ʻeli|mus khawb|ásni|igwu ala|untuk menggali|a thochailt|að grafa|scavare|nggali|қазу|gucukura|казуу|kolandin|ut metalla fodiuntur:|rakt|kasti|gräifen|да копа|untuk menggali|mihady|ħaffer|keri|ухах|graven|å grave|قېزىش|qazmoq|کش کول|حفر کردن|maghukay|kopać|cavar|să sape|копать|eli|ископати|ho cheka|kuchera|کوٽڻ|kopať|kopati|qodid|ngagali|att gräva|kulima|кофтан|казырга|kopat|kazmak|gazmak|копати|کھودنا|đào|ukumba|lati ma wà|ukumba
to swim|om te swem|të notosh|Schwimmen|to swim|للسباحة|üzmək|igeri|плаваць|plivati|да плува|nedar|sa paglangoy|kusambira|natà|naje|plivati|at svømme|nadar|naĝi|ujuma|uida|nager|swimme|snàmh|nadar|i nofio|να κολυμπήσετε|yin iyo|ʻauʻau|ua luam dej|úszni|igwu mmiri|berenang|Snámh|að synda|nuotare|nglangi|жүзу|koga|сүзүү|soberîkirin|natare|peldēt|plaukti|Schwammen|да плива|untuk berenang|milomano|biex tgħum|ki te kauhoe|сэлэх|zwemmen|å svømme|سۇ ئۈزۈش|suzmoq|لامبو وهل|شنا کردن|lumangoy|pływać|nadar|a înota|плавать|e aau|пливати|ho sesa|Kutuhwina|ترڻ|plávať|plavati|dabaasha|ngojay|att simma|Kuogelea|шино кардан|йөзәргә|plavat|yüzmek|ýüzmek|плавати|تیرنا|bơi|ukuqubha|lati we|ukubhukuda
to fly|om te vlieg|të fluturojë|fliegen|to fly|للطيران|uçmaq|hegan egin|ляцець|letjeti|Летя|volar|molupad|kuwuluka|vulà|vole|letjeti|at flyve|para volar|flugi|lendama|lentää|voler|fleane|a sgèith|voar|i hedfan|να πετάξω|tashi|lele|ya|repülni|ife ofufe|terbang|a eitilt|að fljúga|volare|mabur|ұшу|kuguruka|учуу|firîn|volare|lidot|skristi|fléien|да лета|untuk terbang|manidina|ittir|ki te rere|нисэх|vliegen|å fly|ئۇچۇش|uchmoq|الوتل|برای پرواز|lumipad|latać|voar|a zbura|летать|lele|летети|ho fofa|ku bhururuka|اڏامڻ|lietať|leteti|Si aad udoosho|ngapung|att flyga|kuruka|парвоз кардан|очарга|letět|uçmak|uçmak|літати|اڑنا|bay|ukubhabha|lati fo|ukundiza
to walk|om te loop|për të ecur|gehen|to walk|يمشي|gəzmək|ibili|хадзіць|hodati|да вървиш|caminar|sa paglakaw|kuyenda|marchjà|mache|hodati|at gå|andar|marŝi|kõndima|kävellä|marcher|rinne|coiseachd|camiñar|i gerdded|να περπατάω|don tafiya|hele wāwae|mus taug kev|járni|na-eje ije|berjalan|chun siúil|að ganga|camminare|mlaku-mlaku|жүру|kugenda|басуу|meşîn|ambulare|iet|vaikščioti|trëppelen|оди|untuk berjalan|mandeha|timxi|hīkoi|алхах|lopen|å gå|مېڭىش|yurmoq|تلل|راه رفتن|maglakad|iść|andar|a merge|гулять|savali|ходати|ho tsamaya|kufamba|هلڻ|chodiť|hoditi|socod|leumpang|att gå|kutembea|роҳ рафтан|йөрергә|na procházku|yürümek|ýöremek|гуляти|چلنا|đi bộ|ukuhamba|lati rin|ukuhamba
to come|om te kom|te vish|kommen|to come|ليأتي|gəlmək|etorri|прыходзіць|doći|да дойде|venir|moabut|kubwera|vene|vini|doći|at komme|venir|veni|tulema|tulla|venir|komme|ri thighinn|vir|i ddod|να έρθω|zuwa|e hiki mai ana|tuaj|jönni|ibia|datang|tar|að koma|venire|teka|келу|kuza|келүү|hatin|venire|nākt|ateiti|kommen|да дојде|akan datang|ho avy|li ġejjin|Haere mai|ирэх|komen|å komme|to come|kelmoq|راتلل|آمدن|darating|przyjść|vir|a veni|приходить|afio mai|доћи|ho tla|kuuya|اچڻ|prísť|priti|inuu yimaado|sumping|att komma|kuja|омадан|килергә|přijít|gelmek|gelmek|приходити|آنے کا|đến|ukuza|lati wa|ukuza
to lie|lieg|te genjesh|Lügen|to lie|لتكذب|yalan danışmaq|gezurra esan|хлусіць|lagati|да лъжа|mentir|sa pagpamakak|kunama|mintuvà|Manti|lagati|at lyve|mentir|kuŝi|valetama|valehdella|mentir|te ligen|a laighe|mentir|i orwedd|να ψέματα|yin karya|wahahee|los dag|hazudni|ịgha ụgha|berbohong|bréag a insint|að ljúga|mentire|ngapusi|өтірік айту|kubeshya|калп айтуу|derew kirin|ad mendacium|melot|meluoti|léien|да лаже|untuk berbohong|mandainga|tigdeb|ki te teka|худал хэлэх|liegen|å lyge|يالغان سۆزلەش|yolg'on gapirish|دروغ ویل|دروغ گفتن|magsinungaling|kłamać|mentir|a minti|лгать|e pepelo|лагати|ho bua leshano|kunyepa|ڪوڙ ڳالهائڻ|klamať|lagati|Been sheegid|ngabohong|att ljuga|kudanganya|дурӯғ гуфтан|ялганлау|lhát|Yalan söylemek|ýalan sözlemek|брехати|جھوٹ بولنا|nói dối|ukuxoka|láti parọ́|ukuqamba amanga
to sit|om te sit|te ulesh|sitzen|to sit|للجلوس|oturmaq|eseri|сядзець|sjesti|да седна|seure|sa paglingkod|kukhala|pusà|chita|sjesti|at sidde|sentarse|sidi|istuma|istua|s'asseoir|sitte|suidhe|sentar|i eistedd|να καθίσει|zauna|noho|los zaum|ülni|ịnọdụ ala|duduk|Suigh|að sitja|sedere|lenggah|отыру|kwicara|отуруу|rûniştin|sedere|sēdēt|sėsti|sëtzen|седи|duduk|mipetraka|tpoġġi|noho|суух|zitten|å sitte|ئولتۇرۇش|o'tirish uchun|ناست|نشستن|umupo|usiąść|sentar|a sta|сидеть|nofo|сести|ho lula|kugara|ويهڻ|sedieť|sedeti|fadhiisan|calik|att sitta|kukaa|шиштан|утырырга|sedět|oturmak|oturmak|сидіти|بیٹھنا|ngồi|ukuhlala|lati joko|ukuhlala
to stand|te staan|të qëndrojë në këmbë|stehen|to stand|للوقوف|durmaq|zutik egon|стаяць|stajati|стоя|mantenir-se|sa pagbarug|kuyimirira|stà|kanpe|stajati|at stå|estar de pie|stari|seisma|seistä|se tenir debout|stean|seasamh|estar de pé|i sefyll|στέκομαι|su tsaya|kū|sawv ntsug|állni|iguzo|berdiri|chun seasamh|að standa|Stare in piedi|kanggo ngadeg|тұру|guhagarara|туруу|sekinîn|stare|stāvēt|stovėti|stoen|да застане|untuk berdiri|hijoro|tqum|ki te tu|зогсох|staan|å stå|تۇرۇش|turmoq|درېدل|ایستادن|tumayo|stać|para ficar|a sta|стоять|e tu|стајати|ho ema|kumira|بيهڻ|stáť|stati|istaag|nangtung|att stå|kusimama|истодан|торырга|stát|durmak|durmak|стояти|کھڑے ہونے کے لئے|đứng|ukuma|lati duro|ukuma
to turn|om te draai|të kthehet|drehen|to turn|للإلتفاف|dönmək|buelta eman|павярнуцца|skrenuti|обръщам|girar|Pagtuyok|kutembenuka|vultà|vire|okrenuti|At dreje|girar|turniĝi|pöörama|kääntyä|tourner|draaie|tionndadh|xirar|i droi|να γυρίσει|juya|hoʻohuli|kom tig|fordulni|ịtụgharị|berbalik|casadh|að beygja|girare|kanggo nguripake|бұру|guhindukira|бурулуу|zivirandin|rursus ad|Pagriezties|pasukti|dréien|да се сврти|untuk menoleh|mihodina|iddur|ki te huri|эргэх|draaien|å snu|بۇرۇلۇش|burilmoq|تاوېدل|چرخاندن|upang lumiko|skręcić|virar|a intoarce|повернуть|liliu|окренути|ho fetoha|kutendeuka|مڙڻ|otočiť|obrniti|u jeedin|ngalieuk|att vända|kugeuka|гардиш кардан|борылырга|otočit|çevirmek|öwürmek|повернутися|تبدیل کرنے کے لئے|rẽ|ukujika|lati tan|ukuvula
to fall|om te val|të bjerë|fallen|to fall|ليقع او يسقط|yıxılmaq|erori|падаць|pasti|падам|caure|mahulog|kugwa|cascà|tonbe|pasti|at falde|caer|fali|kukkuma|pudota|tomber|falle|tuiteam|caer|i syrthio|να πέσω|to fada|hāʻule|poob|esni|ịda|terjatuh|titim|að falla|cadere|tiba|құлау|kugwa|жыгылуу|ketin|cadere|krist|kristi|faalen|да падне|akan jatuh|mianjera|taqa|hinga|унах|vallen|å falle|يىقىلىش|yiqilish|لوېدل|افتادن|mahulog|spaść|cair|a cădea|падать|paʻu|пасти|ho wela|kudonha|ڪرڻ|spadnúť|da pade|inuu dhaco|murag|att falla|anguka|афтодан|егылырга|spadnout|düşmek|ýykylmak|падати|گرنا|ngã|ukuwa|lati subu|ukuwa
to give|om te gee|te japesh|geben|to give|لكي أعطي|vermək|eman|даваць|dati|да дадеш|donar|sa paghatag|kupereka|dà|bay|dati|at give|dar|doni|andma|antaa|pour donner|jaan|a thoirt|dar|i roi|το να δίνεις|bayarwa|hāʻawi|muab rau|adni|inye|memberi|Tabhair|að gefa|dare|kanggo menehi|беру|gutanga|берүү|dan|dare|dot|duoti|ginn|дава|untuk memberi|manome|tagħti|hoatu|өгөх|geven|å gi|بېرىش|bermoq|ورکول|دادن|magbigay|dawać|dar|a da|дать|e foaʻi atu|дати|ho fana|kupa|ڏيڻ|dať|dati|siinta|mikeun|att ge|kutoa|додан|бирергә|dát|vermek|bermek|давати|دینا|cho|ukunikeza|fún|ukunika
to hold|te hou|te mbash|halten|to hold|ليمسك|tutmaq|eutsi|правесці|držati|да задържа|aguantar|sa paghupot|kugwira|tene|kenbe|držati|at holde|sostener|teni|hoidma|pitää|tenir|hâlde|a chumail|suxeitar|i ddal|να κρατήσω|a riƙe|e hoʻopaʻa|los tuav|tartani|ijide|untuk menahan|a shealbhú|að halda|tenere|kanggo nahan|ұстап тұру|gufata|кармоо|girtin|tenere|turēt|laikyti|haalen|држи|Untuk tahan|mitazona|Żomm|ki te pupuri|барих|vasthouden|å holde|تۇتۇپ تۇرۇش|ushlamoq|نیول|نگه داشتن|hawakan|trzymać|segurar|a tine|держать|e uu|да држе|ho tshoara|kubata|ترسڻ|držať|držati|haynta|pikeun nahan|att hålla|ku shikilia|нигоҳ доштан|тотарга|držet|tutmak|tutmak|тримати|پکڑنا|để giữ|ukubamba|lati mu mu|ukubamba
to squeeze|te druk|të shtrydh|drücken|to squeeze|للضغط|sıxmaq|estutu|выціскаць|stisnuti|изстисквам|exprimir|aron pugson|kufinya|sprimà|peze|stisnuti|at klemme|apretar|elpremi|pigistama|puristaa|serrer|te squeeze|a bhrùthadh|espremer|i wasgu|να συμπιέσετε|matsi|e kaomi|mus nyem|szorítani|afanyekwa|memeras|a fháscadh|að kreista|spremere|kanggo remet|қысу|gukanda|кысуу|kişandin|ad exprimendum|saspiest|spausti|drécken|да се исцеди|untuk memerah|manery|biex tagħfas|ki te ohi|шахах|knijpen|å skvise|قىسىش|siqmoq|وهل|فشردن|Pigain|ścisnąć|espremer|a strange|выжать|oomi|згњечити|ho pepeta|kusvina|نڪڻ|stlačiť|stisniti|isku tuujin|pikeun meres|att klämma|kubana|фишурдан|кысарга|vymačkat|sıkmak için|gysmak|стискати|نچوڑنا|bóp|ukucudisa|lati fun pọ|ukukhama
to rub|om te vryf|të fshij|zu reiben|to rub|لفرك|sürtmək|igurtzi|ўціраць|trljati|да се търка|fregar|sa rub|kupaka|strufinà|fwote|trljati|at gnide|frotar|froti|hõõruda|hieroa|frotter|wriuwe|a shuathadh|frotar|i rwbio|να τρίψω|a shafa|ʻānai|txhawm rau txhuam|dörzsölni|ete|untuk menggosok|a rub|að nudda|strofinare|kanggo ma|ысқылау|to rub|сүртүү|to rub|ad fricabis|berzt|trinti|reiwen|трие|untuk sapu|manosotra|togħrok|ki te mirimiri|үрэх|wrijven|å gni|to rub|silamoq|سولول|سابیدن|upang kuskusin|trzeć|esfregar|a freca|тереть|e olo|трљати|ho pikitla|kukwiza|رڳڙڻ|trieť|drgniti|xoqin|ngagosok|att gnida|kusugua|молидан|сөртергә|třít|ovmak|sürtmek|втирати|رگڑنا|xoa|ukurabha|lati bi won|ukugcoba
to wash|te was|për të larë|waschen|to wash|لغسل|yumaq|garbitzeko|мыць|oprati|да се мият|per rentar|aron mahugasan|kusamba|lavà|yo lave|oprati|at vaske|lavar|lavi|pesta|pestä|laver|waskje|a nighe|lavar|i olchi|να πλύνει|don wanka|e holoi|los ntxuav|mosni|ịsa|untuk mencuci|a nigh|að þvo|lavare|kanggo wisuh|жуу|gukaraba|жуу|şuştin|lavabantur|mazgāt|plauti|wäschen|да се мие|untuk mencuci|manasa|biex taħsel|ki te horoi|угаах|Wassen|å vaske|يۇيۇش|yuvish|مينځل|برای شستن|upang maghugas|myć|para lavar|a spala|мыть|e mulumulu|опрати|ho hlatsoa|kugeza|ڌوئڻ|na umývanie|prati|in la dhaqo|keur nyeuseuh|att tvätta|kuosha|шустан|юарга|umýt|yıkamak|ýuwmak|мити|دھونے کے لئے|để rửa|ukuhlamba|lati w|ukugeza
to wipe|om aftevee|për të fshirë|Wischen|to wipe|لمسح|silmək|garbitu|выцерці|obrisati|да изтрия|netejar|aron mapahid|kufufuta|asciugà|pou siye|brisati|at tørre|limpiar|viŝi|pühkima|pyyhkiä|pour essuyer|wiskje|a sguabadh|limpar|i sychu|για να σκουπίσει|a goge|e holoi|mus so|törölni|ihicha|untuk menghapus|a wipe|að þurrka|Pulire|kanggo ngusap|сүрту|guhanagura|аарчуу|paqij kirin|ut extergimus|noslaucīt|valyti|wëschen|брише|untuk lap|mamafa|biex timsaħ|ki te muru|арчих|vegen|å tørke|سۈرتۈش|artish|پاکول|پاک کردن|upang punasan|wycierać|para limpar|a sterge|протирать|e solo|за брисање|ho hlakola|kupukuta|صاف ڪرڻ|utrieť|obrisati|tirtirid|ngusap|Att torka|kuifuta|тоза кардан|сөртү|otřít|silmek|süpürmek|витирати|مٹانے کے لیے|để lau|ukosula|lati mu ese|ukusula
to pull|te trek|për të tërhequr|ziehen|to pull|لسحب|çəkmək|tiratzeko|цягнуць|povući|да дръпне|per tirar|aron pagbira|kukoka|tirà|rale|povući|at trække|tirar|tiri|tõmbama|vetää|tirer|lûke|a tharraing|tirar|i dynnu|να τραβήξει|a ja|e huki|mus rub|húzni|sere|untuk menarik|a tharraingt|að toga|tirare|kanggo narik|тарту|gukurura|тартуу|kişandin|ad trahendum|vilkt|traukti|zéien|да се повлече|untuk menarik|misintona|biex tiġbed|toia|татах|trekken|å trekke|تارتىش|tortmoq|کشول|کشیدن|upang hilahin|ciągnąć|puxar|a trage|тянуть|e toso|повући|ho hula|kudhonza|ڇڪڻ|ťahať|vleči|jiido|pikeun narik|att dra|kuvuta|кашидан|тартырга|vytáhnout|çekmek|çekmek|тягнути|کھینچنا|để kéo|ukutsala|lati fa|ukudonsa
to push|om te stoot|për të shtyrë|drücken|to push|يدفع|təkan|bultzatu|штурхаць|gurati|бутам|empènyer|sa pagduso|kukankha|spinghje|pouse|gurati|at skubbe|para empujar|puŝi|suruda|työntää|pousser|triuwe|a phutadh|empurrar|i wthio|να ωθήσει|don turawa|pahu aku ai|thawb|tolni|ịkwanye|untuk mendorong|a bhrú|að ýta|spingere|kanggo meksa|итеру|gusunika|түртүү|pê xistin|ad ventilabis|virzīt|stumti|drécken|да се турка|untuk menolak|manosika|biex timbotta|ki te turaki|түлхэх|duwen|å presse|ئىتتىرىش|itarish|فشار ورکول|فشار دادن|para itulak|popychać|para impulsionar|a împinge|толкать|e tulei|гурати|ho sututsa|kusunda|ڌڪڻ|tlačiť|potisniti|riixid|ngadorong|att trycka|kushinikiza|тела додан|этәрергә|tlačit|itmek|iteklemek|натиснути|آگے بڑھانے کے لئے|đẩy|ukutyhala|lati Titari|ukuphusha
to throw|te gooi|të hedh|werfen|to throw|لرمي|atmaq|bota|кінуць|baciti|хвърлям|llançar|ilabay|kuponya|ghjittà|voye|baciti|at kaste|tirar|ĵeti|Viskama|heittää|lancer|goaie|a thilgeil|botar|taflu|να πετάξουν|jefa|hoʻolei|pov|dobni|itu|untuk melempar|Caith|að kasta|gettare|kanggo uncalan|лақтыру|kujugunya|ыргытуу|avêtin|iactare|mest|mesti|werfen|да фрли|untuk dilemparkan|manipy|twaddab|ki te maka|шидэх|gooien|å kaste|تاشلاش|tashlamoq|غورځول|انداختن|magtapon|rzucić|arremessar|a arunca|бросать|togi|бацити|ho lahlela|kukanda|اڇلائڻ|hodiť|vreči|tuurid|ngalungkeun|att kasta|kurusha|партофтан|ыргыту|hodit|atmak|zyňmak|кидати|پھینکنا|ném|Ukujula|lati jabọ|ukulahla
to tie|te bind|të lidhin|zu binden|to tie|أن يربط|bağlamaq|lotzeko|завязваць|vezati|да завържа|per lligar|ihigot|kumanga|ligà|mare|vezati|at binde|para atar|ligi|siduma|sitoa|attacher|fêstbine|a cheangal|atar|i glymu|να δέσει|su ƙulla|nakinaki|los khi|megkötni|iji kee eriri|untuk mengikat|a cheangal|að binda|legare|kanggo dasi|байлау|guhambira|байлоо|girêdan|et colligationem|sasiet|susieti|ze bannen|да се врзуваат|untuk mengikat|mamatotra|biex torbot|ki te here|уях|vastbinden|å knytte|باغلاش|bog'lash|تړل|بستن|upang itali|wiązać|amarrar|a lega|чтобы связать|nonoa|везати|ho tlama|kusunga|ٻڌڻ|zviazať|vezati|in la xiro|ngaitkeun|att knyta|kufunga|бастан|бәйләргә|svázat|bağlamak|daňmak|щоб зв'язати|باندھنے کے لئے|buộc|ukubopha|lati di|ukubopha
to sew|om naaldwerk te doen|për të qepur|zu nähen|to sew|لخياطة|tikmək|josi|шыць|šivati|да шият|cosir|pagtahi|kusoka|cusgì|koud|šivati|at sy|coser|kudri|õmblema|ommella|à coudre|naaie|a fuaigheal|coser|i wnïo|να ράψω|dinka|humuhumu|mus xaws|varrni|ịkwa akwa|menjahit|a sew|að sauma|cucire|kanggo njahit|тігу|kudoda|тигүү|dirûn|ut sem|šūt|siūti|ze nähen|да шијат|untuk jahit|manjaitra|ħjata|tuitui|оёх|te naaien|å sy|تىكىش|tikmoq|ګنډل|دوختن|tumahi|szyć|costurar|a coase|шить|e suʻi|шивати|ho roka|kusona|سلائڻ|šiť|šivati|tolasho|pikeun ngaput|att sy|kushona|дӯхтан|тегәргә|šít|dikmek|tikmek|шити|سلائی کرنے کے لئے|may|ukuthunga|lati ran|ukuthunga
to count|om te tel|për të numëruar|zählen|to count|للعد|saymaq|zenbatu|разлічваць|brojati|да се брои|contar|sa pag-ihap|kuwerengera|cuntà|pou konte|brojati|at tælle|para contar|kalkuli|loendama|laskea|compter|telle|a chunntadh|contar|i gyfrif|να μετρήσει|a kirga|e helu|mus suav|számolni|ịgụta|untuk menghitung|a chomhaireamh|að telja|contare|kanggo ngetung|санау|kubara|эсептөө|hesibandin|numerare|saskaitīt|skaičiuoti|zielen|да се избројат|untuk mengira|manisa|tgħodd|ki te tatau|тоолох|tellen|å telle|ساناش|sanamoq|شمېرل|شمردن|bilangin|liczyć|contar|a număra|считать|e faitau|да рачуна|ho bala|kuverenga|ڳڻڻ|počítať|šteti|in la tiriyo|ngitung|att räkna|kuhesabu|ҳисоб кардан|санарга|počítat|saymak|sanamak|розраховувати|شمار کرنا|để đếm|ukubala|lati ka|ukubala
to say|om te sê|të thuash|sagen|to say|ليقول|demək|esan|казаць|reći|да кажа|dir|isulti|kunena|dì|yo di|reći|at sige|decir|diri|ütlema|sanoa|dire|sizze|a ràdh|dicir|i ddweud|να πω|a ce|e ʻōlelo|hais|mondani|ikwu|untuk mengatakan|a rá|að segja|dire|ngomong|айту|kuvuga|айтуу|gotin|Dicere|teikt|sakyti|soen|да се каже|untuk berkata|milaza|tghid|ki te ki|хэлэх|zeggen|å si|دېمەك|aytish|ویل|گفتن|para sabihin|powiedzieć|dizer|a zice|сказать|e fai atu ai|рећи|ho bua|kutaura|چوڻ|povedať|reči|in la yiraahdo|ngomong|att säga|kusema|гуфтан|әйтергә|říct|söylemek|diýmek, aýtmak|сказати|کہنے کے لئے|để nói|ukuthi|lati sọ|ukusho
